,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2024-04-20,7222.5386474325305,6998.701424749525,5661.6319128199175,5623.808114267973
2024-04-21,7222.5386474325305,6998.701424749525,5661.6319128199175,5623.808114267973
2024-04-22,7277.972577564968,7038.560051494659,5691.677328999478,5652.993842844668
2024-04-23,7312.24262547431,7072.752740805781,5730.518699105352,5690.532822247754
2024-04-24,7351.753946126985,7119.86938070166,5704.9050951576855,5688.899996304079
2024-04-25,7350.044087473126,7120.352699457715,5679.824914215128,5680.494161290376
2024-04-26,7251.815728133297,7058.098380242242,5614.117310077098,5615.219524684624
2024-04-27,7251.815728133297,7058.098380242242,5614.117310077098,5615.219524684624
2024-04-28,7251.815728133297,7058.098380242242,5614.117310077098,5615.219524684624
2024-04-29,7338.742568458032,7137.267869463212,5598.819523929846,5647.49782635143
2024-04-30,7286.160608270777,7050.306253459479,5569.890798691027,5607.679613373855
2024-05-01,7248.29510411846,6979.598273325204,5560.563898095738,5629.160826741513
2024-05-02,7306.321762408125,7044.653710543587,5590.875802240407,5663.7804586793845
2024-05-03,7428.05866397741,7173.282047989753,5651.0649738201155,5779.035262473112
2024-05-04,7428.05866397741,7173.282047989753,5651.0649738201155,5779.035262473112
2024-05-05,7428.05866397741,7173.282047989753,5651.0649738201155,5779.035262473112
2024-05-06,7500.943689469302,7202.182034713117,5726.948595908354,5821.010553572504
2024-05-07,7558.244041928638,7241.333671231644,5725.992646309541,5851.351536011022
2024-05-08,7572.993298716478,7244.846929875332,5703.550356342996,5842.090495399724
2024-05-09,7607.899228064152,7267.987858490518,5615.3811387543055,5828.499955265159
2024-05-10,7636.09396466197,7288.795107119004,5626.590645041949,5824.423724354257
2024-05-11,7636.09396466197,7288.795107119004,5626.590645041949,5824.423724354257
2024-05-12,7636.09396466197,7288.795107119004,5626.590645041949,5824.423724354257
2024-05-13,7635.695959947869,7319.595656976293,5634.819329059817,5829.990735704534
2024-05-14,7650.584874186515,7334.0177211224845,5616.544324644349,5820.285522694536
2024-05-15,7677.699402568029,7360.459780257244,5662.796857764465,5878.943497138615
2024-05-16,7725.817682674343,7392.300597038748,5676.350603900989,5887.154852712605
2024-05-17,7779.917717629813,7411.599499136872,5700.196139759059,5912.508514320604
2024-05-18,7779.917717629813,7411.599499136872,5700.196139759059,5912.508514320604
2024-05-19,7779.917717629813,7411.599499136872,5700.196139759059,5912.508514320604
2024-05-20,7765.254897691914,7409.666717056726,5701.829936510663,5908.278105206463
2024-05-21,7787.674494901481,7409.164280052274,5677.639816342222,5907.248688998679
2024-05-22,7945.396610410462,7543.913823978778,5750.752085764346,5905.073728193981
2024-05-23,7819.23225989717,7435.436786143149,5696.592241380186,5855.308983260007
2024-05-24,7835.664086511946,7430.1993816876,5701.397727936318,5844.281376946913
2024-05-25,7835.664086511946,7430.1993816876,5701.397727936318,5844.281376946913
2024-05-26,7835.664086511946,7430.1993816876,5701.397727936318,5844.281376946913
2024-05-27,7835.664086511946,7430.1993816876,5701.397727936318,5844.281376946913
2024-05-28,7818.386032565701,7429.774224942591,5702.636178864271,5813.705729419087
2024-05-29,7747.094149968713,7372.198691616968,5662.31847923675,5785.982447590701
2024-05-30,7783.718350113238,7409.083291202726,5583.052719552299,5689.6178608797445
2024-05-31,7949.285285887866,7548.8545852213265,5649.213021286375,5774.109020334661
2024-06-01,7949.285285887866,7548.8545852213265,5649.213021286375,5774.109020334661
2024-06-02,7949.285285887866,7548.8545852213265,5649.213021286375,5774.109020334661
2024-06-03,7912.328931770795,7527.440897530848,5640.312166725987,5746.736536769355
2024-06-04,7906.024583228394,7533.877928908402,5640.006588126195,5807.668163090548
2024-06-05,7947.513638764801,7591.0423898362815,5687.712390797579,5846.656774541915
2024-06-06,7986.954716951803,7622.622080932042,5719.2879296486435,5894.123004206515
2024-06-07,8007.473688295802,7634.740861344447,5726.96667852942,5948.547921314878
2024-06-08,8007.473688295802,7634.740861344447,5726.96667852942,5948.547921314878
2024-06-09,8007.473688295802,7634.740861344447,5726.96667852942,5948.547921314878
2024-06-10,8008.665818384253,7635.725670631637,5729.403669592926,5949.314960437877
2024-06-11,8077.606330147343,7716.639212054447,5756.553393649393,5922.263996003715
2024-06-12,8089.2838909273705,7734.304249225197,5788.352845274007,5848.49185325185
2024-06-13,8079.6164377425075,7725.217026471505,5743.833506220502,5824.428387166503
2024-06-14,8002.970911188156,7681.385092426984,5710.858526167986,6006.166488399887
2024-06-15,8002.970911188156,7681.385092426984,5710.858526167986,6006.166488399887
2024-06-16,8002.970911188156,7681.385092426984,5710.858526167986,6006.166488399887
2024-06-17,8102.958794908806,7746.553773448335,5792.579284704367,6015.384536309239
2024-06-18,8141.292063573577,7758.370770845434,5832.674558426026,6060.239456834785
2024-06-19,8141.292063573577,7758.370770845434,5832.674558426026,6060.239456834785
2024-06-20,8129.523151400131,7721.755975006321,5802.195470802573,6205.613604467639
2024-06-21,8107.18907099797,7708.983694162793,5795.2450889235715,6212.712145251053
2024-06-22,8107.18907099797,7708.983694162793,5795.2450889235715,6212.712145251053
2024-06-23,8107.18907099797,7708.983694162793,5795.2450889235715,6212.712145251053
2024-06-24,8145.663593282178,7737.397176169855,5810.084339317315,6202.787540824513
2024-06-25,8104.320049178766,7702.355949499892,5818.4827878393,6193.595586378464
2024-06-26,8085.7013137620015,7720.552226063392,5784.842206995345,6154.374994063281
2024-06-27,8082.166230869139,7697.830910916341,5778.883586043368,6187.926748922082
2024-06-28,8085.012267313324,7702.522835872759,5783.840965945399,6222.725300606336
2024-06-29,8085.012267313324,7702.522835872759,5783.840965945399,6222.725300606336
2024-06-30,8085.012267313324,7702.522835872759,5783.840965945399,6222.725300606336
2024-07-01,8100.649766556655,7721.0851452578045,5782.987413848922,6203.300718880973
2024-07-02,8136.385644964853,7765.119169668249,5779.695169722422,6198.907645580012
2024-07-03,8114.171774351025,7780.41498679998,5750.368481269184,6162.493138801011
2024-07-04,8114.171774351025,7780.41498679998,5750.368481269184,6162.493138801011
2024-07-05,8163.052344583026,7819.317318383393,5812.529660926857,6162.017440309314
2024-07-06,8163.052344583026,7819.317318383393,5812.529660926857,6162.017440309314
2024-07-07,8163.052344583026,7819.317318383393,5812.529660926857,6162.017440309314
2024-07-08,8239.501661748816,7890.79478454891,5820.86142944621,6177.439643566092
2024-07-09,8240.610130630745,7896.0322150120965,5818.994693639368,6169.02462639946
2024-07-10,8337.6872373271,7997.107255883189,5865.9955015410205,6191.15932263222
2024-07-11,8276.372268478088,7946.499057857066,5827.988477516785,6222.495086214547
2024-07-12,8327.95400180516,8004.217153634288,5868.677369932652,6272.637683944975
2024-07-13,8327.95400180516,8004.217153634288,5868.677369932652,6272.637683944975
2024-07-14,8327.95400180516,8004.217153634288,5868.677369932652,6272.637683944975
2024-07-15,8316.557885272661,7982.315270490252,5875.329677091398,6261.539385267751
2024-07-16,8399.949605331429,8063.177039724987,5946.1367795737615,6317.698516197167
2024-07-17,8407.755224082952,8058.048944615725,5914.938694713865,6422.061606042301
2024-07-18,8340.286183223847,7987.293432368694,5867.688991140903,6331.773962502583
2024-07-19,8246.739755904333,7932.5043087506965,5818.06588753522,6330.20281041038
2024-07-20,8246.739755904333,7932.5043087506965,5818.06588753522,6330.20281041038
2024-07-21,8246.739755904333,7932.5043087506965,5818.06588753522,6330.20281041038
2024-07-22,8326.46727274161,8001.434710745536,5884.255505677303,6374.9763585138335
2024-07-23,8206.4645118612,7891.750615759118,5818.99132641776,6326.670207790867
2024-07-24,8161.899546256496,7846.106380093603,5782.535606517958,6394.359509206463
2024-07-25,8167.155791701107,7882.576237408736,5770.460021270271,6415.790773838259
2024-07-26,8297.449640560983,7967.611359607026,5863.904502290742,6468.196622498272
2024-07-27,8297.449640560983,7967.611359607026,5863.904502290742,6468.196622498272
2024-07-28,8297.449640560983,7967.611359607026,5863.904502290742,6468.196622498272
2024-07-29,8261.906225339635,7931.83652579455,5847.106561017597,6418.607057289024
2024-07-30,8288.998089091816,7938.386434753974,5891.46092124479,6470.825158276221
2024-07-31,8297.236249966647,7985.402193722771,5917.832522271587,6433.832044878763
2024-08-01,8201.312513946086,7871.07325192067,5899.146173016257,6417.515341197294
2024-08-02,8110.772381827487,7758.7255501244235,5839.651138015338,6305.745653845122
2024-08-03,8110.772381827487,7758.7255501244235,5839.651138015338,6305.745653845122
2024-08-04,8110.772381827487,7758.7255501244235,5839.651138015338,6305.745653845122
2024-08-05,7869.656852393012,7569.1220686385695,5645.2636777120515,6157.288287832844
2024-08-06,7903.292822056363,7592.333202491985,5685.762341852858,6232.437552578683
2024-08-07,7919.442786899665,7605.333720026575,5676.734976898294,6076.025534848497
2024-08-08,8101.558250549834,7755.084334193174,5812.87364600471,6157.237856726144
2024-08-09,8107.457177772075,7754.583662997382,5821.021984045229,6168.296234272954
2024-08-10,8107.457177772075,7754.583662997382,5821.021984045229,6168.296234272954
2024-08-11,8107.457177772075,7754.583662997382,5821.021984045229,6168.296234272954
2024-08-12,8101.448073916433,7761.7093866923,5811.328951731803,6111.914935860549
2024-08-13,8188.237134092518,7848.661717531865,5881.055751584276,6165.600292769284
2024-08-14,8239.637981946871,7847.01459867717,5908.7416568889275,6227.962750529663
2024-08-15,8355.055048596209,7945.266445088673,6011.120598661183,6320.813205709182
2024-08-16,8387.00354393336,7961.578633822718,6032.175388438644,6308.703423657228
2024-08-17,8387.00354393336,7961.578633822718,6032.175388438644,6308.703423657228
2024-08-18,8387.00354393336,7961.578633822718,6032.175388438644,6308.703423657228
2024-08-19,8456.36135187631,8020.431069293668,6073.235705910318,6389.790884731833
2024-08-20,8414.133343505082,7983.494669509904,6052.653112666649,6339.204071363166
2024-08-21,8482.22513300445,8020.143730844675,6097.955608916329,6384.23468751579
2024-08-22,8456.984326125721,7966.988326944397,6084.016003302474,6373.295691096269
2024-08-23,8609.482626509143,8073.101115897811,6169.753018145739,6454.358015366117
2024-08-24,8609.482626509143,8073.101115897811,6169.753018145739,6454.358015366117
2024-08-25,8609.482626509143,8073.101115897811,6169.753018145739,6454.358015366117
2024-08-26,8604.399499851172,8061.373827694856,6162.388385004935,6455.200479647166
2024-08-27,8658.71413688454,8094.737530101075,6207.118308284735,6500.819635408412
2024-08-28,8624.141180093307,8057.589445094827,6175.88098422532,6503.113712553273
2024-08-29,8700.147352946857,8102.472122867822,6244.051100625688,6530.829785845464
