,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2023-11-13,7219.193522718266,7107.89357635878,5744.539964376438,5477.743970851211
2023-11-14,7290.688750229963,7195.85717323878,5809.779790707226,5632.47042516518
2023-11-15,7275.608150294158,7228.77678696246,5772.626975013609,5656.083214774969
2023-11-16,7300.602097823502,7235.244948438872,5816.536884408734,5647.325888247763
2023-11-17,7325.592751470987,7261.913388204958,5831.519133822379,5664.107582103931
2023-11-18,7325.592751470987,7261.913388204958,5831.519133822379,5664.107582103931
2023-11-19,7325.592751470987,7261.913388204958,5831.519133822379,5664.107582103931
2023-11-20,7353.593946765796,7274.730398068055,5881.424012723606,5706.193876119346
2023-11-21,7362.753003056914,7255.023054419977,5888.168557475758,5788.848107873821
2023-11-22,7385.611041146475,7280.579041980468,5913.688928095037,5825.841654438942
2023-11-23,7385.611041146475,7280.579041980468,5913.688928095037,5825.841654438942
2023-11-24,7391.045672861172,7274.924458153517,5917.885695709695,5855.271923998508
2023-11-25,7391.045672861172,7274.924458153517,5917.885695709695,5855.271923998508
2023-11-26,7391.045672861172,7274.924458153517,5917.885695709695,5855.271923998508
2023-11-27,7384.680666607242,7261.938968452207,5928.854354228943,5838.649196157835
2023-11-28,7348.186733275659,7268.6215923934,5892.752886703394,5798.6843341115255
2023-11-29,7287.6847894377,7244.407784639381,5850.5989662870825,5770.649992666014
2023-11-30,7372.362465922154,7305.542617706107,5871.862311540308,5819.369706875707
2023-12-01,7398.768006780443,7350.214924700966,5925.190779551431,5935.595100960965
2023-12-02,7398.768006780443,7350.214924700966,5925.190779551431,5935.595100960965
2023-12-03,7398.768006780443,7350.214924700966,5925.190779551431,5935.595100960965
2023-12-04,7373.603849951277,7336.601931319775,5882.380386587474,5907.700395436733
2023-12-05,7375.598227858468,7341.091787815389,5896.091584817656,5898.793838584727
2023-12-06,7332.404023242996,7331.822946091409,5861.743099809648,5900.195096007018
2023-12-07,7377.077518454048,7406.381287674954,5892.543538088241,5984.777996085539
2023-12-08,7421.558355206408,7432.8868460390595,5932.823193976052,5989.022461574336
2023-12-09,7421.558355206408,7432.8868460390595,5932.823193976052,5989.022461574336
2023-12-10,7421.558355206408,7432.8868460390595,5932.823193976052,5989.022461574336
